state,without_convenient_access_pct,eligible_covered_pct
Alabama,43.0,51.4
Alaska,54.0,50.3
Arizona,49.0,59.5
Arkansas,43.0,45.7
California,27.0,72.4
Colorado,49.0,54.2
Connecticut,25.0,48.1
Delaware,50.0,61.5
Florida,53.0,52.9
Georgia,52.0,47.7
Hawaii,44.0,57.3
Idaho,41.0,44.9
Illinois,27.0,44.3
Indiana,52.0,58.3
Iowa,32.0,54.3
Kansas,49.0,50.6
Kentucky,36.0,62.1
Louisiana,56.0,41.3
Maine,21.0,55.2
Maryland,45.0,61.2
Massachusetts,26.0,68.7
Michigan,29.0,62.6
Minnesota,35.0,66.2
Mississippi,45.0,45.6
Missouri,49.0,43.0
Montana,34.0,42.9
Nebraska,37.0,59.6
Nevada,46.0,47.7
New Hampshire,42.0,49.5
New Jersey,29.0,58.3
New Mexico,55.0,43.9
New York,19.0,62.4
North Carolina,42.0,61.8
North Dakota,35.0,51.6
Ohio,50.0,45.5
Oklahoma,45.0,54.2
Oregon,35.0,63.1
Pennsylvania,34.0,43.7
Rhode Island,21.0,60.6
South Carolina,49.0,44.3
South Dakota,41.0,57.5
Tennessee,49.0,47.4
Texas,48.0,56.7
Utah,49.0,44.5
Vermont,30.0,79.6
Virginia,47.0,47.2
Washington,45.0,54.8
West Virginia,39.0,59.2
Wisconsin,32.0,56.0
Wyoming,56.0,43.4
